"","BDI","DJI","ERI","ETH","KEN","RWA","SOM","SSD","TZA","UGA","HTI","MOZ"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,1230000,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,18450000,0,0,0,0,2490000,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0
"ARG",23402266666.6667,0,0,0,602274366666.667,55606546666.6667,0,0,155215366666.667,281489633333.333,55813333.3333333,61990400000
"AUS",2449333333.33333,0,0,2224440000,177089526666.667,7125333333.33333,0,0,254600406666.667,47740846666.6667,0,102200660000
"AUT",0,0,0,31980000,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,9840000,0,2460000,1230000,0,25830000,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,110700000,14760000,4920000,0,17220000,0,646506666.666667,1012766666.66667
"ARB",0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,141460133333.333,0,230252920000,0,0,4527926666.66667,0,0,0,0,7380000
"MMR",0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,327600000,2226666.66666667,0,0,268146666.666667,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0
"CAN",6320393333.33333,0,0,0,403663070000,24998786666.6667,0,2226666.66666667,257874720000,32325633333.3333,167489623333.333,361472613333.333
"CPV",0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,8723106666.66667,0
"CHN",0,4900000,1213333.33333333,22843826666.6667,15990000,0,1230000,0,73800000,41820000,55350000,39340000
"COL",0,0,0,0,0,0,0,0,0,0,9756360000,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,6150000,28290000,0,0,0,6150000,3690000,6150000,3690000
"DMA",0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0
"EGY",632590000,4035880000,98870403333.3333,64728490000,19360323333.3333,804980000,52928580000,0,218230000,3789310000,0,1081433333.33333
"SLV",0,0,0,0,0,0,0,0,0,0,30750000,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,83580626666.6667,0,0,0,17661920000,0,0,0
"FRO",0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,4027756666.66667,0,10765933333.3333,194890000,0,0,0,0,4376800000,4920613333.33333,56580000
"PYF",0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0
"DEU",24237266666.6667,36400000,0,387190763333.333,704106306666.667,4.5424e+10,17106666.6666667,0,334882873333.333,184314146666.667,24266666.6666667,194403703333.333
"BIH",0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,7340000
"KIR",0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,96776666.6666667,67650000,0,0,0,0,29373333.3333333,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,2426666.66666667,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,7280000,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0
"IND",942130000,12538933333.3333,11070000,223860000,16078860000,6289906666.66667,100092980000,516600000,40482200000,32753426666.6667,35362500000,5752666666.66667
"IDN",0,0,0,0,19680000,0,43050000,0,118080000,59040000,0,0
"IRN",0,65190000,0,1153743333.33333,3046640000,0,8292233333.33333,0,5232383333.33333,728016666.666667,0,0
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,7910000,0,0,0,0,0,0,0
"ITA",68506666.6666667,518360000,472206666.666667,3489833333.33333,7731576666.66667,1778426666.66667,19545943333.3333,0,6422110000,643146666.666667,409830000,755003333.333333
"CIV",0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,12300000,0
"JPN",0,2453333.33333333,0,0,1223333.33333333,0,0,0,2460000,0,2490000,0
"JOR",0,0,0,0,14760000,0,24600000,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0
"KEN",59770000,0,0,0,0,717700000,288233333.333333,1864066666.66667,270813333.333333,29424950000,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,89533333.3333333,0,0,0,0,1223333.33333333,1230000,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,56147433333.3333,0,54643513333.3333,380549680000,5648630000,216530000,0,9463333333.33333,48444473333.3333,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,311190000,0,0,0,0,2426666.66666667,0,1230000,3640000,0,7380000
"LSO",0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,279794026666.667,0,0,0,69198586666.6667,10576666666.6667,0,159383686666.667
"MAC",0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,66060000
"MWI",0,0,0,0,0,0,0,0,0,0,0,313633333.333333
"MYS",0,222630000,0,150060000,122066666.666667,0,0,0,19680000,38130000,0,8610000
"MDV",0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,0,0,0,0,0,0,0,0,0,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,29400000,0,0,0,0,59943333.3333333,0,63220000
"MEX",0,0,0,0,0,0,0,0,0,0,100626950000,0
"MNG",0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,6116666.66666667,0,0,0,145600000,58240000,0,0,58240000,0,0
"MOZ",0,0,0,0,0,0,0,0,0,0,0,0
"MDA",0,0,0,0,0,132486666.666667,53440000,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0
"NPL",0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,1510440000,17006666.6666667,73800000,247660000,3673333.33333333,87933333.3333333,0,13848406666.6667,32976666.6666667,113066666.666667,36873333.3333333
"ANT",0,0,0,0,0,0,0,0,0,0,0,0
"NCL",0,0,0,0,0,0,0,0,0,0,0,0
"MKD",0,0,0,0,2460000,0,0,0,0,0,0,0
"VUT",0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0
"NIC",0,0,0,0,0,0,0,0,0,0,38130000,0
"NER",0,0,0,0,0,0,0,0,0,0,0,0
"NGA",0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,1209090000,0,110700000,0,0,0,0,0
"PAK",0,15990000,0,0,1341306666.66667,0,853620000,15990000,2345330000,46740000,3690000,311560000
"PAN",0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,0,0,0,0,0,0,0,0,0,0,0
"PRY",0,0,0,0,0,0,0,0,0,0,0,0
"PER",0,0,0,0,0,0,0,0,0,0,32022903333.3333,0
"PHL",0,0,0,0,0,0,22140000,0,0,0,0,0
"POL",0,0,0,13530000,491140436666.667,8906666666.66667,6150000,0,234353326666.667,105895813333.333,63058086666.6667,405732066666.667
"PRT",0,0,0,202453333.333333,271653333.333333,0,0,0,3690000,0,25830000,1927713333.33333
"GNB",0,0,0,0,0,0,0,0,0,0,0,0
"TLS",0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,0,0,0,0,0,0,0,0,4920000,0,211560000
"ROU",0,589890760000,11133333333.3333,840079026666.667,0,0,52582486666.6667,0,0,0,0,0
"RWA",6780000,0,0,0,75030000,0,0,0,0,111643333.333333,0,0
"RUS",7.0307e+10,289773946666.667,0,213584093333.333,1736065200000,201471026666.667,679466666.666667,0,1539639800000,407511173333.333,117517900000,801582186666.667
"KNA",0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0
"VCT",0,0,0,0,0,0,0,0,0,0,0,0
"STP",0,0,0,0,0,0,0,0,0,0,0,0
"SAU",44280000,719550000,27060000,873866666.666667,200490000,0,4112946666.66667,0,237390000,22140000,0,384990000
"SEN",0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,0,0,0,0,0,0,0,0,0,0
"SVN",0,0,0,0,0,0,167440000,0,0,0,0,26693333.3333333
"SVK",0,0,0,0,0,0,558133333.333333,0,0,1230000,0,0
"SGP",0,0,0,0,47820000,0,0,0,0,0,0,1230000
"SOM",0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",830000,52890000,0,14340000,183140000,20910000,0,0,1620093333.33333,335970000,0,28233946666.6667
"ESP",0,210330000,0,70110000,18450000,0,57810000,0,103350000,24600000,929463333.333333,355086666.666667
"SUR",0,0,0,0,0,0,0,0,0,0,0,0
"TJK",0,0,0,0,0,0,0,0,0,0,0,0
"SWZ",0,0,0,0,0,0,0,0,0,0,0,252150000
"SWE",0,0,0,0,0,0,1213333.33333333,0,0,0,0,0
"CHE",0,0,74623333.3333333,0,2460000,0,0,0,0,0,0,0
"SYR",0,0,0,0,0,0,0,0,0,0,0,0
"TKM",0,0,0,0,0,0,0,0,0,0,0,0
"TWN",0,0,0,0,0,0,0,0,0,0,0,0
"TZA",1751466666.66667,0,0,0,30023453333.3333,2750893333.33333,0,72800000,0,401363333.333333,0,13530000
"THA",0,1223333.33333333,0,0,41593333.3333333,7373333.33333333,0,0,7380000,8563333.33333333,0,25830000
"TGO",0,0,0,0,0,0,0,0,0,0,0,0
"TON",0,0,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,8458363333.33333,0,23370000,11780190000,0,487315930000,0,16521050000,363330000,0,0
"TUN",0,55050000,0,47501026666.6667,0,6150000,0,0,7035190000,0,0,3690000
"TUR",258213333.333333,237028693333.333,58503380000,4682816666.66667,86438773333.3333,20876083333.3333,480033883333.333,9466886666.66667,94067123333.3333,14747643333.3333,126272716666.667,1591120000
"ARE",116813333.333333,3529570000,5647126666.66667,811186666.666667,18281630000,182033333.333333,67941486666.6667,0,12456826666.6667,1324123333.33333,168510000,1438640000
"UGA",1830683333.33333,0,0,36400000,1267666666.66667,8971863333.33333,9840000,89272380000,20910000,0,0,0
"TUV",0,0,0,0,0,0,0,0,0,0,0,0
"GBR",0,1213333.33333333,0,27090000,2303450000,55350000,12300000,0,570066666.666667,78720000,1230000,33210000
"UKR",8906666666.66667,518628646666.667,0,488055620000,600094160000,349440000,87487520000,2266506666.66667,34898300000,15495966666.6667,50960000,63170533333.3333
"USA",0,55837850000,18350000,1183848526666.67,264589690000,0,15990000,0,108487693333.333,0,370714200000,72787506666.6667
"BFA",0,0,0,0,0,0,0,0,0,0,0,0
"URY",0,0,0,0,0,0,0,0,0,0,0,0
"UZB",0,0,0,0,0,0,0,0,0,0,0,0
"VEN",0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,2910396666.66667,0,0,3690000,0,3690000,8610000,0,0,0,0
"YEM",0,0,0,2245980000,84870000,0,0,0,0,0,0,0
"COD",12300000,0,0,0,0,0,0,0,0,0,0,0
"ZMB",0,0,0,0,149290000,0,0,0,318220000,35670000,0,36900000
"BEL",224693333.333333,14984666666.6667,4883333.33333333,189690000,102090000,272223333.333333,0,0,14760000,11016666.6666667,3290000,23370000
"LUX",0,0,0,0,0,0,0,0,0,0,0,0
"SRB",0,0,0,0,0,0,2460000,0,0,0,100706666.666667,0
"MNE",0,0,0,0,0,0,0,0,0,0,0,0
"SDN",0,0,0,0,0,0,0,0,0,0,0,0
"SSD",0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0
